sentiment,strictness,text,topicid
negative,65,"are you out of your fucking mind",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"been a nightmare",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"being double billed",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"better deal elsewhere",0dedb566-b197-455f-b2e5-fb2a53b59109
negative,65,"better deals out there",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"better offer",0dedb566-b197-455f-b2e5-fb2a53b59109
negative,65,"bills going up",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"bitch i will beat your ass",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"bring the cost down",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"bullshit you can't do this",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"but i don't understand why i just paid",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"but i never got a call back",8fd87920-0ae5-44d6-bacb-e00adaea2df9
negative,65,"but she wants to complain",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"calling with a high bill complaint",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"can i at least talk to a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"can i speak to your supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"can i speak to your supervisor please",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"can i speak to your team leader please",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"can you transfer me to your manager",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"can't afford to pay",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"can't justify that amount",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"can't run a business like that",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"cancel but they still charge me",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"cancel everything",a1767d9b-c903-4ca4-aadd-ce8b52efbc31
negative,65,"cancel it all",a1767d9b-c903-4ca4-aadd-ce8b52efbc31
negative,65,"certainly didn't wanna have this problem",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"charging me for stuff i don't even use",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"charging so much",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"cheaper elsewhere",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"class action settlement suit",3f58996b-4ae7-4ac9-8ed3-dadf6db52e23
negative,65,"complain to better business bureau",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"complaint about the service tech",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"complaint against",2337180e-a3bb-470b-a4c1-9829a77b1596
negative,65,"completely ridiculous",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"contacted them for hours and days",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"costs too much",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"created all this bloody problem",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"cut me off the first time",067bab27-0ce6-4da0-bccb-538e4d3287b9
negative,65,"cutting down the cost",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"dealing with all this stupid stuff",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"definitely want to speak to a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"discuss it with your supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"dispute the charges",feee604a-e246-4e48-a576-a5e9dae6f24d
negative,65,"dispute this bill",feee604a-e246-4e48-a576-a5e9dae6f24d
negative,65,"disputing the charges",feee604a-e246-4e48-a576-a5e9dae6f24d
negative,65,"disputing this debt",feee604a-e246-4e48-a576-a5e9dae6f24d
negative,65,"dissatisfied with the best match sort",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"do you have a supervisor i can speak to",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"document it as a complaint",2337180e-a3bb-470b-a4c1-9829a77b1596
negative,65,"doesn't make any fuckin sense",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"doesn't make sense",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"don't be such a bitch to me",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"don't be such a dick",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"don't be such a dickhead",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"don't be such an asshole",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"don't fuck with me",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"don't have the money anymore",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"don't just give me the overage minutes",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"don't know what's going on",22f117b9-72bf-4483-9fdd-592cec4b2b38
negative,65,"don't like the way you do business",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"don't swear at me",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"don't understand why",22f117b9-72bf-4483-9fdd-592cec4b2b38
negative,65,"don't want to argue with you anymore",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"don't you have a supervisor i can talk",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"double paid the bill",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"due to costs",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"due to price",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"email all the complaints",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"ending service with you guys",a1767d9b-c903-4ca4-aadd-ce8b52efbc31
negative,65,"escalate it to a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"essentially stealing",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"every fucking day",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"every god damn day",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"every god damn night",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"every time i call i get a different answer",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,expensive,1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"extra charge on my bill",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"extremely confusing",22f117b9-72bf-4483-9fdd-592cec4b2b38
negative,65,"extremely disappointed",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"extremely frustrated",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"feedback is getting to be a real problem",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"file a complaint",2337180e-a3bb-470b-a4c1-9829a77b1596
negative,65,"file a formal complaint",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"filed complaint for",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"filing a complaint",2337180e-a3bb-470b-a4c1-9829a77b1596
negative,65,"find it very hard to believe",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"find me a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"found a better deal",0dedb566-b197-455f-b2e5-fb2a53b59109
negative,65,"freaking ridiculous",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"from this fucking company",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"frustrated with this whole situation",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"fuck that bull shit",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"fuck you bitch",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"fuck you you son of a bitch",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"fucking idiot",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"get a supervisor for me",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"get me a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"get me your fucking manager",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"get me your supervisor now",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"get my bill down",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"get the fuck out of here",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"get the price down",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"getting confused by all",22f117b9-72bf-4483-9fdd-592cec4b2b38
negative,65,"getting frustrated at this point",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"getting irritated",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"getting more and more expensive",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"getting really aggravated",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"getting ridiculous",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"getting very aggravated",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"give anything to loyal customers",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"give me your supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"give me your supervisor then",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"give you my attorney's",3f58996b-4ae7-4ac9-8ed3-dadf6db52e23
negative,65,"go fuck themselves",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"go fuck your mother",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"go fuck your self asshole",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"go fuck yourself",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"go to my lawyer",3f58996b-4ae7-4ac9-8ed3-dadf6db52e23
negative,65,"going to fuck you up",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"going to talk to an attorney",3f58996b-4ae7-4ac9-8ed3-dadf6db52e23
negative,65,"going with another company",0dedb566-b197-455f-b2e5-fb2a53b59109
negative,65,"going with another provider",0dedb566-b197-455f-b2e5-fb2a53b59109
negative,65,"gonna take you to court",3f58996b-4ae7-4ac9-8ed3-dadf6db52e23
negative,65,"good for nothing",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"got a better deal",0dedb566-b197-455f-b2e5-fb2a53b59109
negative,65,"got a better offer",0dedb566-b197-455f-b2e5-fb2a53b59109
negative,65,"guy i talked to last night",067bab27-0ce6-4da0-bccb-538e4d3287b9
negative,65,"handle the escalated call",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"happens every time i call",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"has been a disaster",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"has been increasing",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"has been so inconsiderate",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"have a complaint concerning",2337180e-a3bb-470b-a4c1-9829a77b1596
negative,65,"have a supervisor call me back",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"have my attorney",3f58996b-4ae7-4ac9-8ed3-dadf6db52e23
negative,65,"haven't heard anything back",8fd87920-0ae5-44d6-bacb-e00adaea2df9
negative,65,"he sent it over to a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"he wants to complain about",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"he wants to speak to somebody now",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"hearing from a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"holy shit you're kidding",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"how can i go over my spending limit if i don't use my phone",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"how come no one told me that",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i already called about this",067bab27-0ce6-4da0-bccb-538e4d3287b9
negative,65,"i already called twice today",067bab27-0ce6-4da0-bccb-538e4d3287b9
negative,65,"i am angry now",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am confused",22f117b9-72bf-4483-9fdd-592cec4b2b38
negative,65,"i am definitely complaining",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am disappointed",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am disputing this",feee604a-e246-4e48-a576-a5e9dae6f24d
negative,65,"i am extremely stressed",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am extremely unhappy about that",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am extremely upset",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am forced to",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am frustrated that when i",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am getting really upset",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am going to fight with you",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am going to fucking sue you",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"i am going to sue your company",3f58996b-4ae7-4ac9-8ed3-dadf6db52e23
negative,65,"i am not happy at all",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am not happy at all about this",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am not happy with",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am not satisfied",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am not too happy with this",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am really getting frustrated",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am really getting irritated",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am really tired of this",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am shocked this is crazy",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am so angry right now",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am so frustrated",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am so upset right now",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am totally frustrated",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am totally frustrated with your company",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am very confused",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am very frustrated",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am very unhappy",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am very upset over this",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i am very very dissatisfied",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i asked for a manager several times",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i called and i called",067bab27-0ce6-4da0-bccb-538e4d3287b9
negative,65,"i called numerous times",067bab27-0ce6-4da0-bccb-538e4d3287b9
negative,65,"i called to complain about",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i can have a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i can take my business somewhere else",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i can't afford it",1ba1ecfa-ce6a-478c-81fd-b7042b174507
negative,65,"i can't believe this shit",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"i can't get a supervisor to call me back",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i can't understand why i was charged",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i cant believe i have to pay for this shitty service",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"i cant believe i have to pay for this son of a bitchy service",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"i could go to any other bank",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i did put in a complaint",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i dislike the way they do business",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i don't fucking believe that",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"i don't have time",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i don't have time for this",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i don't need this shit",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"i don't think it's fair",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i don't understand why it's so difficult",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i don't want any excuses",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i get confused about this",22f117b9-72bf-4483-9fdd-592cec4b2b38
negative,65,"i got charged twice",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i got my bill and it was more than i expected",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i had no assistance",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i had this outrageous bill",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i have a complaint about",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i have a lawyer",3f58996b-4ae7-4ac9-8ed3-dadf6db52e23
negative,65,"i have a supervisor on the line",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i have an angry customer",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i have been misinformed",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i have been on the phone for hours",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i have been sitting here for an hour",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i have called three times",067bab27-0ce6-4da0-bccb-538e4d3287b9
negative,65,"i have had nothing but trouble",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i have not gotten my money back",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i have not heard back from",8fd87920-0ae5-44d6-bacb-e00adaea2df9
negative,65,"i have to file a complaint",2337180e-a3bb-470b-a4c1-9829a77b1596
negative,65,"i haven't even received the bill",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i just don't understand",22f117b9-72bf-4483-9fdd-592cec4b2b38
negative,65,"i just like to talk to the supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i just need the manager please",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i just want an explanation",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i just want to cancel",a1767d9b-c903-4ca4-aadd-ce8b52efbc31
negative,65,"i keep getting hung up on",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i keep getting the run around about it",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i know it's not your fault",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i mean this is ridiculous",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i need to file a complaint",2337180e-a3bb-470b-a4c1-9829a77b1596
negative,65,"i need to reach a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i need to speak to someone that can help",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i need to speak to your supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i need to speak with a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i need to talk to a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i needed to talk to probably a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i never did get a call from",8fd87920-0ae5-44d6-bacb-e00adaea2df9
negative,65,"i should call my lawyer",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i still want to talk to a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i want my money back",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i want my money back on my phone",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i want nothing to do with you",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i want talk to someone a little friendlier",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i want that canceled right away",a1767d9b-c903-4ca4-aadd-ce8b52efbc31
negative,65,"i want to know one more time what am i being charged for",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i want to know why i still owe",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i want to put in a complaint about that",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i want to speak to a manager",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i want to speak to a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i want to speak to someone else",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i want to speak to your superior",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i want to speak with someone higher up",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i want to talk to a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i want to talk to your manager",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i want to talk to your supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i want to talk with a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i want your manager to call me",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i was charged twice",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i was fraudulently charged",613159a2-98f5-4ea1-b7f3-b2584059d186
negative,65,"i was given no explanation",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i was little angry at that",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i was never told this",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i was not notified about that",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i was supposed to get a call from",8fd87920-0ae5-44d6-bacb-e00adaea2df9
negative,65,"i was very confused",22f117b9-72bf-4483-9fdd-592cec4b2b38
negative,65,"i was very disappointed in",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i will be damned",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i will be very unhappy",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i will fuck you up",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"i will never use you again",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i will refuse to pay",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i will see you in court",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i will whip your motherfucking ass",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"i would like to speak to a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i would like to your supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i'd like to get the supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i'd like to put in a complaint about that",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'll just continue to wait for a supervisor",7a637cbe-fabd-4590-a1ba-be222f1b75b6
negative,65,"i'll just go somewhere else",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'll make your complaint known",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'll put that in the complaint",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'll slap the shit out of you",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"i'm a little upset with that",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm angry",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm at the end of my rope",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm being charged extra",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i'm cancelling everything",a1767d9b-c903-4ca4-aadd-ce8b52efbc31
negative,65,"i'm complaining about",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm confused",22f117b9-72bf-4483-9fdd-592cec4b2b38
negative,65,"i'm confused and i'm frustrated",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm frustrated with this whole situation",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm getting a bill for something i didn't receive",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i'm getting extra charges",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i'm getting extra charges on my bill",aa441534-0581-4b93-a828-e6892a764f69
negative,65,"i'm getting real tired",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm getting really aggravated",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm getting really pissed",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm getting really pissed off",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm getting so frustrated with this",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm gonna complain to",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm gonna freakin sue em",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm gonna fucking go",ab897e4f-b43a-4365-aaea-350b4400e77d
negative,65,"i'm having a terrible time here",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm just a little frustrated",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm just not very happy about that",dbf06a98-e893-46c8-884b-0176e9125e50
negative,65,"i'm not an idiot",dbf06a98-e893-46c8-884b-0176e9125e50
