ACTIVITY_TYPE_NAME	ACTIVITY_TYPE_CATEGORY	ACTIVITY_TYPE_DESCRIPTION	IS_PAID_FLAG	IS_AVAILABLE_FLAG	IS_READY_FLAG	IS_ABSENCE_FLAG	RECORD_EFF_DT	RECORD_END_DT	VERSION
Idle Time	Available	Idle Time	1	1	0	0	1900/01/01	2999/12/31	1
IDR incident	Other Not Ready	Special Project	1	0	0	0	1900/01/01	2999/12/31	1
IDR Incident Open	Other Not Ready	IDR Incident Open	1	0	0	0	1900/01/01	2999/12/31	1
Inbound/Outbound Call	Available	Inbound/Outbound Call	1	1	0	0	1900/01/01	2999/12/31	1
Incident Open	Other Not Ready	Appeal Incident Open	1	0	0	0	1900/01/01	2999/12/31	1
Invalid Agent State	Other Not Ready	"Used by RTA to indicate that the agent appears to be in a Non-Work state, but the exact activity cannot be determined."	1	0	0	0	1900/01/01	2999/12/31	1
KOFAX Fax QC	Other Not Ready	KOFAX Fax QC	1	0	0	0	1900/01/01	2999/12/31	1
Late Start	Unscheduled PTO	Late Start	1	0	0	1	1900/01/01	2999/12/31	1
Link Doc Set QC Task	Other Not Ready	Link Doc Set QC Task	1	0	0	0	1900/01/01	2999/12/31	1
Link Document Set	Other Not Ready	Link Document Set	1	0	0	0	1900/01/01	2999/12/31	1
Lunch	Lunch and Break	Lunch	0	0	0	0	1900/01/01	2999/12/31	1
Mail Room Specialist	Other Not Ready	Mail Room Specialist	1	0	0	0	1900/01/01	2999/12/31	1
MAXIMUS QC Task	Other Not Ready	MAXIMUS QC Task	1	0	0	0	1900/01/01	2999/12/31	1
Multiple Applications	Other Not Ready	Multiple Applications	1	0	0	0	1900/01/01	2999/12/31	1
Navigator	Available	QR2 Line supporting Navigators 	1	1	0	0	1900/01/01	2999/12/31	1
Non Existing Test group	Other Not Ready	Non Existing Test group	1	0	0	0	1900/01/01	2999/12/31	1
NY HBE Pilot - Individual	Available	Soft Launch - Individual	1	1	0	0	1900/01/01	2999/12/31	1
NY HBE Pilot - SHOP	Available	Soft Launch - SHOP	1	1	0	0	1900/01/01	2999/12/31	1
NYEC - Agency Conference	Meeting	Agency Conference	1	0	0	0	1900/01/01	2999/12/31	1
NYEC - FPBP	Available	FPBP	1	1	0	0	1900/01/01	2999/12/31	1
NYEC - PAP	Available	PAP	1	1	0	0	1900/01/01	2999/12/31	1
NYEC - Renewals	Available	Renewals 	1	1	0	0	1900/01/01	2999/12/31	1
NYEC Renewal Processing	Available	NYEC Renewal Processing	1	1	0	0	1900/01/01	2999/12/31	1
Off	Scheduled PTO	Off	1	0	0	1	1900/01/01	2999/12/31	1
One-on-One	Meeting	Meeting with Supervisor	1	0	0	0	1900/01/01	2999/12/31	1
Orientation	Training	HC Orientation	1	0	0	0	1900/01/01	2999/12/31	1
Orphan Document	Other Not Ready	Orphan Document	1	0	0	0	1900/01/01	2999/12/31	1
Other	Other Not Ready	Other	1	0	0	0	1900/01/01	2999/12/31	1
Outbound Calls	Available	Outbound Calls	1	1	0	0	1900/01/01	2999/12/31	1
Personal Day	Scheduled PTO	Personal Day	1	0	0	1	1900/01/01	2999/12/31	1
Phone Problems	Other Not Ready	Phone Issue	1	0	0	0	1900/01/01	2999/12/31	1
Problem Case	Other Not Ready	Agent is performing off phone work post call	1	0	0	0	1900/01/01	2999/12/31	1
Processing	Other Not Ready	Processing	1	0	0	0	1900/01/01	2999/12/31	1
Quality Control	Other Not Ready	Quality Control	1	0	0	0	1900/01/01	2999/12/31	1
Refer to ES-C	Other Not Ready	Refer to ES-C	1	0	0	0	1900/01/01	2999/12/31	1
Refer to ES-C Supervisor	Other Not Ready	Refer to ES-C Supervisor	1	0	0	0	1900/01/01	2999/12/31	1
Refresher Training	Training	Refresher Training	1	0	0	0	1900/01/01	2999/12/31	1
Research Specialist	Other Not Ready	E&E Research Team	1	0	0	0	1900/01/01	2999/12/31	1
Returned Mail Application	Other Not Ready	Application Returned Mail 	1	0	0	0	1900/01/01	2999/12/31	1
Safety Training	Training	Used for the July Safety Training	1	0	0	0	1900/01/01	2999/12/31	1
Schedule Hearing	Other Not Ready	Schedule Hearing	1	0	0	0	1900/01/01	2999/12/31	1
Sick	Unscheduled PTO	Sick	0	0	0	1	1900/01/01	2999/12/31	1
Slack Time	Scheduled PTO	"Used by Scheduler to fill gaps where staff must be scheduled, but no rules are defined."	0	0	0	1	1900/01/01	2999/12/31	1
Special Floor Meeting	Meeting	Staff meeting called impromptu without leaving work area	1	0	0	0	1900/01/01	2999/12/31	1
Special Project	Other Not Ready	Special Project - Not Otherwise Listed	1	0	0	0	1900/01/01	2999/12/31	1
Split Time	Scheduled PTO	Event for Split Time between attendances	1	0	0	1	1900/01/01	2999/12/31	1
Staff Meeting	Meeting	Team Meeting	1	0	0	0	1900/01/01	2999/12/31	1
Supervisor Help	Meeting	Agent is engaging Supervisor for ad-hoc help	1	0	0	0	1900/01/01	2999/12/31	1
SWCC-CSR	Available	English Speaking CSR 1 Primary Skills	1	1	0	0	1900/01/01	2999/12/31	1
SWCC-CSR Bilingual	Available	Spanish Speaking CSR 1 Primary Skills	1	1	0	0	1900/01/01	2999/12/31	1
SWCC-CSR II	Available	English Speaking CSR II Primary Skills	1	1	0	0	1900/01/01	2999/12/31	1
SWCC-CSR II Bilingual	Available	Spanish Speaking CSR II Primary Skills	1	1	0	0	1900/01/01	2999/12/31	1
System Problems	Other Not Ready	Computer or Software Issue	1	0	0	0	1900/01/01	2999/12/31	1
Team Lead (Individual)	Available	Team Lead (Individual)	1	1	0	0	1900/01/01	2999/12/31	1
Team Lead (Individual) - Bilingual	Available	Team Lead (Individual) - Bilingual	1	1	0	0	1900/01/01	2999/12/31	1
Team Lead (SHOP)	Available	Team Lead (SHOP)	1	1	0	0	1900/01/01	2999/12/31	1
Team Meeting	Meeting	Team Meeting / Staff Meeting	1	0	0	0	1900/01/01	2999/12/31	1
Time Off	Scheduled PTO	Time Off	1	0	0	1	1900/01/01	2999/12/31	1
TPHI	Other Not Ready	TPHI	1	0	0	0	1900/01/01	2999/12/31	1
Training	Training	Training	1	0	0	0	1900/01/01	2999/12/31	1
Unknown Work	Other Not Ready	"Used by RTA to indicate that the agent appears to be in a Work state, but the exact activity cannot be determined."	1	0	0	0	1900/01/01	2999/12/31	1
Unplanned Absence	Unscheduled PTO	Time Off	0	0	0	1	1900/01/01	2999/12/31	1
Unplanned Team Meeting	Meeting	Team Meeting is impromtu (Day of meeting)	1	0	0	0	1900/01/01	2999/12/31	1
Vacation	Scheduled PTO	Vacation	1	0	0	1	1900/01/01	2999/12/31	1
Verification Document	Other Not Ready	Verification Document	1	0	0	0	1900/01/01	2999/12/31	1
VLP	Other Not Ready	VLP	1	0	0	0	1900/01/01	2999/12/31	1
Weather Related Late Arrival	Unscheduled PTO	Time Off	0	0	0	1	1900/01/01	2999/12/31	1
WFM Chat	Other Not Ready	Supervisor day or Backup day to support the chat	1	0	0	0	1900/01/01	2999/12/31	1
Wrap Up	Other Not Ready	Wrap Up	1	0	0	0	1900/01/01	2999/12/31	1
Wrong Program	Other Not Ready	Wrong Program	1	0	0	0	1900/01/01	2999/12/31	1
