ID	TIMEZONE	STARTTIME	ENDTIME	BIAS
72106	AET	2029-10-27 16:00:00.000	2030-03-30 16:00:00.000	660
72107	AET	2030-03-30 16:00:00.000	2030-10-26 16:00:00.000	600
72108	AET	2030-10-26 16:00:00.000	2031-03-29 16:00:00.000	660
72109	AET	2031-03-29 16:00:00.000	2031-10-25 16:00:00.000	600
72110	AET	2031-10-25 16:00:00.000	2032-03-27 16:00:00.000	660
72111	AET	2032-03-27 16:00:00.000	2032-10-30 16:00:00.000	600
72112	AET	2032-10-30 16:00:00.000	2033-03-26 16:00:00.000	660
72113	AET	2033-03-26 16:00:00.000	2033-10-29 16:00:00.000	600
72114	AET	2033-10-29 16:00:00.000	2034-03-25 16:00:00.000	660
72115	AET	2034-03-25 16:00:00.000	2034-10-28 16:00:00.000	600
72116	AET	2034-10-28 16:00:00.000	2035-03-24 16:00:00.000	660
72117	AET	2035-03-24 16:00:00.000	2035-10-27 16:00:00.000	600
72118	AET	2035-10-27 16:00:00.000	2036-03-29 16:00:00.000	660
72119	AET	2036-03-29 16:00:00.000	2036-10-25 16:00:00.000	600
72120	AET	2036-10-25 16:00:00.000	2037-03-28 16:00:00.000	660
72121	AET	2037-03-28 16:00:00.000	2037-10-24 16:00:00.000	600
72122	AET	2037-10-24 16:00:00.000	2038-03-27 16:00:00.000	660
72123	AET	2038-03-27 16:00:00.000	2038-10-30 16:00:00.000	600
72124	AET	2038-10-30 16:00:00.000	2039-03-26 16:00:00.000	660
72125	AET	2039-03-26 16:00:00.000	2039-10-29 16:00:00.000	600
72126	AET	2039-10-29 16:00:00.000	2040-03-24 16:00:00.000	660
72127	AET	2040-03-24 16:00:00.000	2040-10-27 16:00:00.000	600
72128	AET	2040-10-27 16:00:00.000	2041-03-30 16:00:00.000	660
72129	AET	2041-03-30 16:00:00.000	2041-10-26 16:00:00.000	600
72130	AET	2041-10-26 16:00:00.000	2042-03-29 16:00:00.000	660
72131	AET	2042-03-29 16:00:00.000	2042-10-25 16:00:00.000	600
72132	AET	2042-10-25 16:00:00.000	2043-03-28 16:00:00.000	660
72133	AET	2043-03-28 16:00:00.000	2043-10-24 16:00:00.000	600
72134	AET	2043-10-24 16:00:00.000	2044-03-26 16:00:00.000	660
72135	AET	2044-03-26 16:00:00.000	2044-10-29 16:00:00.000	600
72136	AET	2044-10-29 16:00:00.000	2045-03-25 16:00:00.000	660
72137	AET	2045-03-25 16:00:00.000	2045-10-28 16:00:00.000	600
72138	AET	2045-10-28 16:00:00.000	2046-03-24 16:00:00.000	660
72139	AET	2046-03-24 16:00:00.000	2046-10-27 16:00:00.000	600
72140	AET	2046-10-27 16:00:00.000	2047-03-30 16:00:00.000	660
72141	AET	2047-03-30 16:00:00.000	2047-10-26 16:00:00.000	600
72142	AET	2047-10-26 16:00:00.000	2048-03-28 16:00:00.000	660
72143	AET	2048-03-28 16:00:00.000	2048-10-24 16:00:00.000	600
72144	AET	2048-10-24 16:00:00.000	2049-03-27 16:00:00.000	660
72145	AET	2049-03-27 16:00:00.000	2049-08-08 14:00:00.000	600
54126	Africa/Abidjan	1969-08-08 00:00:00.000	2049-08-08 00:00:00.000	0
54127	Africa/Accra	1969-08-08 00:00:00.000	2049-08-08 00:00:00.000	0
65949	Africa/Addis_Ababa	1969-08-08 21:00:00.000	2049-08-08 21:00:00.000	180
56010	Africa/Algiers	1969-08-08 00:00:00.000	1971-04-25 23:00:00.000	0
56011	Africa/Algiers	1971-04-25 23:00:00.000	1971-09-26 23:00:00.000	60
56012	Africa/Algiers	1971-09-26 23:00:00.000	1977-05-06 00:00:00.000	0
56013	Africa/Algiers	1977-05-06 00:00:00.000	1978-03-24 00:00:00.000	60
56014	Africa/Algiers	1978-03-24 00:00:00.000	1978-09-22 01:00:00.000	120
56015	Africa/Algiers	1978-09-22 01:00:00.000	1979-10-25 23:00:00.000	60
56016	Africa/Algiers	1979-10-25 23:00:00.000	1980-04-25 00:00:00.000	0
56017	Africa/Algiers	1980-04-25 00:00:00.000	1980-10-31 01:00:00.000	60
56018	Africa/Algiers	1980-10-31 01:00:00.000	1981-05-01 00:00:00.000	0
56019	Africa/Algiers	1981-05-01 00:00:00.000	2049-08-07 23:00:00.000	60
65950	Africa/Asmera	1969-08-08 21:00:00.000	2049-08-08 21:00:00.000	180
54128	Africa/Bamako	1969-08-08 00:00:00.000	2049-08-08 00:00:00.000	0
56020	Africa/Bangui	1969-08-07 23:00:00.000	2049-08-07 23:00:00.000	60
54129	Africa/Banjul	1969-08-08 00:00:00.000	2049-08-08 00:00:00.000	0
54130	Africa/Bissau	1969-08-08 01:00:00.000	1975-01-01 01:00:00.000	-60
54131	Africa/Bissau	1975-01-01 01:00:00.000	2049-08-08 00:00:00.000	0
61487	Africa/Blantyre	1969-08-07 22:00:00.000	2049-08-07 22:00:00.000	120
56021	Africa/Brazzaville	1969-08-07 23:00:00.000	2049-08-07 23:00:00.000	60
61488	Africa/Bujumbura	1969-08-07 22:00:00.000	2049-08-07 22:00:00.000	120
61489	Africa/Cairo	1969-08-08 21:00:00.000	1969-10-01 00:00:00.000	180
61490	Africa/Cairo	1969-10-01 00:00:00.000	1970-04-30 23:00:00.000	120
61491	Africa/Cairo	1970-04-30 23:00:00.000	1970-10-01 00:00:00.000	180
61492	Africa/Cairo	1970-10-01 00:00:00.000	1971-04-30 23:00:00.000	120
61493	Africa/Cairo	1971-04-30 23:00:00.000	1971-10-01 00:00:00.000	180
61494	Africa/Cairo	1971-10-01 00:00:00.000	1972-04-30 23:00:00.000	120
61495	Africa/Cairo	1972-04-30 23:00:00.000	1972-10-01 00:00:00.000	180
61496	Africa/Cairo	1972-10-01 00:00:00.000	1973-04-30 23:00:00.000	120
61497	Africa/Cairo	1973-04-30 23:00:00.000	1973-10-01 00:00:00.000	180
61498	Africa/Cairo	1973-10-01 00:00:00.000	1974-04-30 23:00:00.000	120
61499	Africa/Cairo	1974-04-30 23:00:00.000	1974-10-01 00:00:00.000	180
61500	Africa/Cairo	1974-10-01 00:00:00.000	1975-04-30 23:00:00.000	120
61501	Africa/Cairo	1975-04-30 23:00:00.000	1975-10-01 00:00:00.000	180
61502	Africa/Cairo	1975-10-01 00:00:00.000	1976-04-30 23:00:00.000	120
61503	Africa/Cairo	1976-04-30 23:00:00.000	1976-10-01 00:00:00.000	180
61504	Africa/Cairo	1976-10-01 00:00:00.000	1977-04-30 23:00:00.000	120
61505	Africa/Cairo	1977-04-30 23:00:00.000	1977-10-01 00:00:00.000	180
61506	Africa/Cairo	1977-10-01 00:00:00.000	1978-04-30 23:00:00.000	120
61507	Africa/Cairo	1978-04-30 23:00:00.000	1978-10-01 00:00:00.000	180
61508	Africa/Cairo	1978-10-01 00:00:00.000	1979-04-30 23:00:00.000	120
61509	Africa/Cairo	1979-04-30 23:00:00.000	1979-10-01 00:00:00.000	180
61510	Africa/Cairo	1979-10-01 00:00:00.000	1980-04-30 23:00:00.000	120
61511	Africa/Cairo	1980-04-30 23:00:00.000	1980-10-01 00:00:00.000	180
61512	Africa/Cairo	1980-10-01 00:00:00.000	1981-04-30 23:00:00.000	120
61513	Africa/Cairo	1981-04-30 23:00:00.000	1981-10-01 00:00:00.000	180
61514	Africa/Cairo	1981-10-01 00:00:00.000	1982-07-24 23:00:00.000	120
61515	Africa/Cairo	1982-07-24 23:00:00.000	1982-10-01 00:00:00.000	180
61516	Africa/Cairo	1982-10-01 00:00:00.000	1983-07-11 23:00:00.000	120
61517	Africa/Cairo	1983-07-11 23:00:00.000	1983-10-01 00:00:00.000	180
61518	Africa/Cairo	1983-10-01 00:00:00.000	1984-04-30 23:00:00.000	120
61519	Africa/Cairo	1984-04-30 23:00:00.000	1984-10-01 00:00:00.000	180
61520	Africa/Cairo	1984-10-01 00:00:00.000	1985-04-30 23:00:00.000	120
61521	Africa/Cairo	1985-04-30 23:00:00.000	1985-10-01 00:00:00.000	180
61522	Africa/Cairo	1985-10-01 00:00:00.000	1986-04-30 23:00:00.000	120
61523	Africa/Cairo	1986-04-30 23:00:00.000	1986-10-01 00:00:00.000	180
61524	Africa/Cairo	1986-10-01 00:00:00.000	1987-04-30 23:00:00.000	120
61525	Africa/Cairo	1987-04-30 23:00:00.000	1987-10-01 00:00:00.000	180
61526	Africa/Cairo	1987-10-01 00:00:00.000	1988-04-30 23:00:00.000	120
61527	Africa/Cairo	1988-04-30 23:00:00.000	1988-10-01 00:00:00.000	180
61528	Africa/Cairo	1988-10-01 00:00:00.000	1989-05-05 23:00:00.000	120
61529	Africa/Cairo	1989-05-05 23:00:00.000	1989-10-01 00:00:00.000	180
61530	Africa/Cairo	1989-10-01 00:00:00.000	1990-04-30 23:00:00.000	120
61531	Africa/Cairo	1990-04-30 23:00:00.000	1990-10-01 00:00:00.000	180
61532	Africa/Cairo	1990-10-01 00:00:00.000	1991-04-30 23:00:00.000	120
61533	Africa/Cairo	1991-04-30 23:00:00.000	1991-10-01 00:00:00.000	180
61534	Africa/Cairo	1991-10-01 00:00:00.000	1992-04-30 23:00:00.000	120
61535	Africa/Cairo	1992-04-30 23:00:00.000	1992-10-01 00:00:00.000	180
61536	Africa/Cairo	1992-10-01 00:00:00.000	1993-04-30 23:00:00.000	120
61537	Africa/Cairo	1993-04-30 23:00:00.000	1993-10-01 00:00:00.000	180
61538	Africa/Cairo	1993-10-01 00:00:00.000	1994-04-30 23:00:00.000	120
61539	Africa/Cairo	1994-04-30 23:00:00.000	1994-10-01 00:00:00.000	180
61540	Africa/Cairo	1994-10-01 00:00:00.000	1995-04-27 22:00:00.000	120
61541	Africa/Cairo	1995-04-27 22:00:00.000	1995-09-28 21:00:00.000	180
61542	Africa/Cairo	1995-09-28 21:00:00.000	1996-04-25 22:00:00.000	120
61543	Africa/Cairo	1996-04-25 22:00:00.000	1996-09-26 21:00:00.000	180
61544	Africa/Cairo	1996-09-26 21:00:00.000	1997-04-24 22:00:00.000	120
61545	Africa/Cairo	1997-04-24 22:00:00.000	1997-09-25 21:00:00.000	180
61546	Africa/Cairo	1997-09-25 21:00:00.000	1998-04-23 22:00:00.000	120
61547	Africa/Cairo	1998-04-23 22:00:00.000	1998-09-24 21:00:00.000	180
61548	Africa/Cairo	1998-09-24 21:00:00.000	1999-04-29 22:00:00.000	120
61549	Africa/Cairo	1999-04-29 22:00:00.000	1999-09-30 21:00:00.000	180
61550	Africa/Cairo	1999-09-30 21:00:00.000	2000-04-27 22:00:00.000	120
61551	Africa/Cairo	2000-04-27 22:00:00.000	2000-09-28 21:00:00.000	180
61552	Africa/Cairo	2000-09-28 21:00:00.000	2001-04-26 22:00:00.000	120
61553	Africa/Cairo	2001-04-26 22:00:00.000	2001-09-27 21:00:00.000	180
61554	Africa/Cairo	2001-09-27 21:00:00.000	2002-04-25 22:00:00.000	120
61555	Africa/Cairo	2002-04-25 22:00:00.000	2002-09-26 21:00:00.000	180
61556	Africa/Cairo	2002-09-26 21:00:00.000	2003-04-24 22:00:00.000	120
61557	Africa/Cairo	2003-04-24 22:00:00.000	2003-09-25 21:00:00.000	180
61558	Africa/Cairo	2003-09-25 21:00:00.000	2004-04-29 22:00:00.000	120
61559	Africa/Cairo	2004-04-29 22:00:00.000	2004-09-30 21:00:00.000	180
61560	Africa/Cairo	2004-09-30 21:00:00.000	2005-04-28 22:00:00.000	120
61561	Africa/Cairo	2005-04-28 22:00:00.000	2005-09-29 21:00:00.000	180
61562	Africa/Cairo	2005-09-29 21:00:00.000	2006-04-27 22:00:00.000	120
61563	Africa/Cairo	2006-04-27 22:00:00.000	2006-09-28 21:00:00.000	180
61564	Africa/Cairo	2006-09-28 21:00:00.000	2007-04-26 22:00:00.000	120
61565	Africa/Cairo	2007-04-26 22:00:00.000	2007-09-27 21:00:00.000	180
61566	Africa/Cairo	2007-09-27 21:00:00.000	2008-04-24 22:00:00.000	120
61567	Africa/Cairo	2008-04-24 22:00:00.000	2008-09-25 21:00:00.000	180
61568	Africa/Cairo	2008-09-25 21:00:00.000	2009-04-23 22:00:00.000	120
61569	Africa/Cairo	2009-04-23 22:00:00.000	2009-09-24 21:00:00.000	180
61570	Africa/Cairo	2009-09-24 21:00:00.000	2010-04-29 22:00:00.000	120
61571	Africa/Cairo	2010-04-29 22:00:00.000	2010-09-30 21:00:00.000	180
61572	Africa/Cairo	2010-09-30 21:00:00.000	2011-04-28 22:00:00.000	120
61573	Africa/Cairo	2011-04-28 22:00:00.000	2011-09-29 21:00:00.000	180
61574	Africa/Cairo	2011-09-29 21:00:00.000	2012-04-26 22:00:00.000	120
61575	Africa/Cairo	2012-04-26 22:00:00.000	2012-09-27 21:00:00.000	180
61576	Africa/Cairo	2012-09-27 21:00:00.000	2013-04-25 22:00:00.000	120
61577	Africa/Cairo	2013-04-25 22:00:00.000	2013-09-26 21:00:00.000	180
61578	Africa/Cairo	2013-09-26 21:00:00.000	2014-04-24 22:00:00.000	120
61579	Africa/Cairo	2014-04-24 22:00:00.000	2014-09-25 21:00:00.000	180
61580	Africa/Cairo	2014-09-25 21:00:00.000	2015-04-23 22:00:00.000	120
61581	Africa/Cairo	2015-04-23 22:00:00.000	2015-09-24 21:00:00.000	180
61582	Africa/Cairo	2015-09-24 21:00:00.000	2016-04-28 22:00:00.000	120
61583	Africa/Cairo	2016-04-28 22:00:00.000	2016-09-29 21:00:00.000	180
61584	Africa/Cairo	2016-09-29 21:00:00.000	2017-04-27 22:00:00.000	120
61585	Africa/Cairo	2017-04-27 22:00:00.000	2017-09-28 21:00:00.000	180
61586	Africa/Cairo	2017-09-28 21:00:00.000	2018-04-26 22:00:00.000	120
61587	Africa/Cairo	2018-04-26 22:00:00.000	2018-09-27 21:00:00.000	180
61588	Africa/Cairo	2018-09-27 21:00:00.000	2019-04-25 22:00:00.000	120
61589	Africa/Cairo	2019-04-25 22:00:00.000	2019-09-26 21:00:00.000	180
61590	Africa/Cairo	2019-09-26 21:00:00.000	2020-04-23 22:00:00.000	120
61591	Africa/Cairo	2020-04-23 22:00:00.000	2020-09-24 21:00:00.000	180
61592	Africa/Cairo	2020-09-24 21:00:00.000	2021-04-29 22:00:00.000	120
61593	Africa/Cairo	2021-04-29 22:00:00.000	2021-09-30 21:00:00.000	180
61594	Africa/Cairo	2021-09-30 21:00:00.000	2022-04-28 22:00:00.000	120
61595	Africa/Cairo	2022-04-28 22:00:00.000	2022-09-29 21:00:00.000	180
61596	Africa/Cairo	2022-09-29 21:00:00.000	2023-04-27 22:00:00.000	120
61597	Africa/Cairo	2023-04-27 22:00:00.000	2023-09-28 21:00:00.000	180
61598	Africa/Cairo	2023-09-28 21:00:00.000	2024-04-25 22:00:00.000	120
61599	Africa/Cairo	2024-04-25 22:00:00.000	2024-09-26 21:00:00.000	180
61600	Africa/Cairo	2024-09-26 21:00:00.000	2025-04-24 22:00:00.000	120
61601	Africa/Cairo	2025-04-24 22:00:00.000	2025-09-25 21:00:00.000	180
61602	Africa/Cairo	2025-09-25 21:00:00.000	2026-04-23 22:00:00.000	120
61603	Africa/Cairo	2026-04-23 22:00:00.000	2026-09-24 21:00:00.000	180
61604	Africa/Cairo	2026-09-24 21:00:00.000	2027-04-29 22:00:00.000	120
61605	Africa/Cairo	2027-04-29 22:00:00.000	2027-09-30 21:00:00.000	180
61606	Africa/Cairo	2027-09-30 21:00:00.000	2028-04-27 22:00:00.000	120
61607	Africa/Cairo	2028-04-27 22:00:00.000	2028-09-28 21:00:00.000	180
61608	Africa/Cairo	2028-09-28 21:00:00.000	2029-04-26 22:00:00.000	120
61609	Africa/Cairo	2029-04-26 22:00:00.000	2029-09-27 21:00:00.000	180
61610	Africa/Cairo	2029-09-27 21:00:00.000	2030-04-25 22:00:00.000	120
61611	Africa/Cairo	2030-04-25 22:00:00.000	2030-09-26 21:00:00.000	180
61612	Africa/Cairo	2030-09-26 21:00:00.000	2031-04-24 22:00:00.000	120
61613	Africa/Cairo	2031-04-24 22:00:00.000	2031-09-25 21:00:00.000	180
61614	Africa/Cairo	2031-09-25 21:00:00.000	2032-04-29 22:00:00.000	120
61615	Africa/Cairo	2032-04-29 22:00:00.000	2032-09-30 21:00:00.000	180
61616	Africa/Cairo	2032-09-30 21:00:00.000	2033-04-28 22:00:00.000	120
61617	Africa/Cairo	2033-04-28 22:00:00.000	2033-09-29 21:00:00.000	180
61618	Africa/Cairo	2033-09-29 21:00:00.000	2034-04-27 22:00:00.000	120
61619	Africa/Cairo	2034-04-27 22:00:00.000	2034-09-28 21:00:00.000	180
61620	Africa/Cairo	2034-09-28 21:00:00.000	2035-04-26 22:00:00.000	120
61621	Africa/Cairo	2035-04-26 22:00:00.000	2035-09-27 21:00:00.000	180
61622	Africa/Cairo	2035-09-27 21:00:00.000	2036-04-24 22:00:00.000	120
61623	Africa/Cairo	2036-04-24 22:00:00.000	2036-09-25 21:00:00.000	180
61624	Africa/Cairo	2036-09-25 21:00:00.000	2037-04-23 22:00:00.000	120
61625	Africa/Cairo	2037-04-23 22:00:00.000	2037-09-24 21:00:00.000	180
61626	Africa/Cairo	2037-09-24 21:00:00.000	2038-04-29 22:00:00.000	120
61627	Africa/Cairo	2038-04-29 22:00:00.000	2038-09-30 21:00:00.000	180
61628	Africa/Cairo	2038-09-30 21:00:00.000	2039-04-28 22:00:00.000	120
61629	Africa/Cairo	2039-04-28 22:00:00.000	2039-09-29 21:00:00.000	180
61630	Africa/Cairo	2039-09-29 21:00:00.000	2040-04-26 22:00:00.000	120
61631	Africa/Cairo	2040-04-26 22:00:00.000	2040-09-27 21:00:00.000	180
61632	Africa/Cairo	2040-09-27 21:00:00.000	2041-04-25 22:00:00.000	120
61633	Africa/Cairo	2041-04-25 22:00:00.000	2041-09-26 21:00:00.000	180
61634	Africa/Cairo	2041-09-26 21:00:00.000	2042-04-24 22:00:00.000	120
61635	Africa/Cairo	2042-04-24 22:00:00.000	2042-09-25 21:00:00.000	180
61636	Africa/Cairo	2042-09-25 21:00:00.000	2043-04-23 22:00:00.000	120
61637	Africa/Cairo	2043-04-23 22:00:00.000	2043-09-24 21:00:00.000	180
61638	Africa/Cairo	2043-09-24 21:00:00.000	2044-04-28 22:00:00.000	120
61639	Africa/Cairo	2044-04-28 22:00:00.000	2044-09-29 21:00:00.000	180
61640	Africa/Cairo	2044-09-29 21:00:00.000	2045-04-27 22:00:00.000	120
61641	Africa/Cairo	2045-04-27 22:00:00.000	2045-09-28 21:00:00.000	180
61642	Africa/Cairo	2045-09-28 21:00:00.000	2046-04-26 22:00:00.000	120
61643	Africa/Cairo	2046-04-26 22:00:00.000	2046-09-27 21:00:00.000	180
61644	Africa/Cairo	2046-09-27 21:00:00.000	2047-04-25 22:00:00.000	120
61645	Africa/Cairo	2047-04-25 22:00:00.000	2047-09-26 21:00:00.000	180
61646	Africa/Cairo	2047-09-26 21:00:00.000	2048-04-23 22:00:00.000	120
