ACTIVITY_TYPE_NAME	ACTIVITY_TYPE_CATEGORY	ACTIVITY_TYPE_DESCRIPTION	IS_PAID_FLAG	IS_AVAILABLE_FLAG	IS_READY_FLAG	IS_ABSENCE_FLAG	RECORD_EFF_DT	RECORD_END_DT	VERSION
Calls - Premium Transportation	Available	Basics + MHPB & Trans	1	1	0	0	1900/01/01	2199/12/31	1
Calls - Provider	Available	Calls - Provider	1	1	0	0	1900/01/01	2199/12/31	1
Calls - Provider Spanish	Available	Calls - Provider Spanish	1	1	0	0	1900/01/01	2199/12/31	1
Break	Lunch and Break	Break	1	0	0	0	1900/01/01	2199/12/31	1
Lunch	Lunch and Break	Lunch	0	0	0	0	1900/01/01	2199/12/31	1
1 on 1	Meeting	Monthly meeting with Supervisor	1	0	0	0	1900/01/01	2199/12/31	1
Interview	Meeting	Internal Interview with another department	1	0	0	0	1900/01/01	2199/12/31	1
Meeting	Meeting	Scheduled Ad Hoc Meeting	1	0	0	0	1900/01/01	2199/12/31	1
New Hire - Group	Meeting	A group meeting that is part of the New Hire process	1	0	0	0	1900/01/01	2199/12/31	1
Team Huddle	Meeting	Monthly Team Huddle	1	0	0	0	1900/01/01	2199/12/31	1
Team Meeting	Meeting	Monthly Team Meeting	1	0	0	0	1900/01/01	2199/12/31	1
BOA	Other Not Ready	Beginning of Attendance	1	0	0	0	1900/01/01	2199/12/31	1
Callbacks	Other Not Ready	Outreach to resolve Callback escalations	1	1	0	0	1900/01/01	2199/12/31	1
EOA	Other Not Ready	End of Attendance	1	0	0	0	1900/01/01	2199/12/31	1
Front Desk Assistance	Other Not Ready	Filling in as Receptionist	1	0	0	0	1900/01/01	2199/12/31	1
KC Assistance	Other Not Ready	CSR helping KC with updating materials	1	0	0	0	1900/01/01	2199/12/31	1
Mailroom Assistance	Other Not Ready	Helping in the Mailroom	1	0	0	0	1900/01/01	2199/12/31	1
Massage	Other Not Ready	10 minute Chair Massages (+5 min on either side)	1	0	0	0	1900/01/01	2199/12/31	1
Mentoring	Other Not Ready	Mentoring after non Phase I-III Training	1	0	0	0	1900/01/01	2199/12/31	1
New Hire - Application	Other Not Ready	15 minutes to complete online Application	1	0	0	0	1900/01/01	2199/12/31	1
New Hire - Benefits	Other Not Ready	Benefits selection for New Hire	1	0	0	0	1900/01/01	2199/12/31	1
New Hire - Documentation	Other Not Ready	60 minutes to complete documentation with HR Generalist	1	0	0	0	1900/01/01	2199/12/31	1
New Hire - Profile	Other Not Ready	15 minutes to complete online Profile	1	0	0	0	1900/01/01	2199/12/31	1
NR Personal Time	Other Not Ready	NR Personal Time	1	0	0	0	1900/01/01	2199/12/31	1
Paper App Processing	Other Not Ready	Off the Phone work of Processing Paper Applications	1	0	0	0	1900/01/01	2199/12/31	1
Phase II Refresher	Other Not Ready	Daily Phase II Refresher	1	0	0	0	1900/01/01	2199/12/31	1
Phase III Refresher	Other Not Ready	Daily Phase III Refresher	1	0	0	0	1900/01/01	2199/12/31	1
Project	Other Not Ready	Special Project	1	0	0	0	1900/01/01	2199/12/31	1
Provider Refresher	Other Not Ready	Weekly Provider Refresher	1	0	0	0	1900/01/01	2199/12/31	1
Provider Refresher Exercises	Other Not Ready	Alternate Provider Refresher	1	0	0	0	1900/01/01	2199/12/31	1
UniCenter Assistance	Other Not Ready	CSR assistance with the UniCenter Ticket queue	1	0	0	0	1900/01/01	2199/12/31	1
Unknown Non-Work	Other Not Ready	"Used by RTA to indicate that the agent appears to be in a Non-Work state, but the exact activity cannot be determined."	0	0	0	0	1900/01/01	2199/12/31	1
Unknown Work	Other Not Ready	"Used by RTA to indicate that the agent appears to be in a Work state, but the exact activity cannot be determined."	1	0	0	0	1900/01/01	2199/12/31	1
Arriving to Work Late	Scheduled PTO	Arriving Late	0	0	0	1	1900/01/01	2199/12/31	1
Bereavement	Scheduled PTO	Bereavement	1	0	0	1	1900/01/01	2199/12/31	1
Court	Scheduled PTO	"Required Court appearance: Jury Duty, Witness, self, etc"	1	0	0	1	1900/01/01	2199/12/31	1
FMLA	Scheduled PTO	Family Medical Leave Act	1	0	0	1	1900/01/01	2199/12/31	1
Holiday	Scheduled PTO	Holiday	1	0	0	1	1900/01/01	2199/12/31	1
Off	Scheduled PTO	Off	1	0	0	1	1900/01/01	2199/12/31	1
Personal Day	Scheduled PTO	Personal Day	1	0	0	1	1900/01/01	2199/12/31	1
PTO	Scheduled PTO	Paid Time Off	1	0	0	1	1900/01/01	2199/12/31	1
ADA/CBHI	Training	Required Online ADA/CBHI Training	1	0	0	0	1900/01/01	2199/12/31	1
Corporate Compliance Training	Training	Yearly Corporate Compliance MAXIMUS University Training	1	0	0	0	1900/01/01	2199/12/31	1
HSN Training	Training	HSN Call Training for CSRs	1	0	0	0	1900/01/01	2199/12/31	1
Managed Care Training - Full Day	Training	Managed Care Training for Trainees - 1st day	1	0	0	0	1900/01/01	2199/12/31	1
MHPB Training	Training	Premium Billing Training for Trainees	1	0	0	0	1900/01/01	2199/12/31	1
MHPB/Transportation Training	Training	Both trainings take place on the same day.	1	0	0	0	1900/01/01	2199/12/31	1
New Hire - CED Training	Training	Required online Corporate new hire training	1	0	0	0	1900/01/01	2199/12/31	1
One Care Training	Training	Training to enable CSRs to take One Care calls	1	0	0	0	1900/01/01	2199/12/31	1
Other Training	Training	Other Training	1	0	0	0	1900/01/01	2199/12/31	1
Provider Training	Training	pCSR Training - all day event	1	0	0	0	1900/01/01	2199/12/31	1
Training	Training	Scheduled Ad Hoc Training	1	0	0	0	1900/01/01	2199/12/31	1
Transportation Training	Training	Transportation Training for Trainees	1	0	0	0	1900/01/01	2199/12/31	1
Departing Work Early	Unscheduled PTO	Leaving Early	0	0	0	1	1900/01/01	2199/12/31	1
Late Start	Unscheduled PTO	Late Start	0	0	0	1	1900/01/01	2199/12/31	1
